"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,,,,,,,,,
"1;""R13",R8,R14,R12,R15,R10,R9,"R11"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";8;""150"";;;",,,,,,
"2;""D4",D12,D9,D16,D10,D15,D13,D7,D3,D5,D8,D14,D11,"D6"";""LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm"";14;""SK6812MINI"";;;"
"3;""R2","R1"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";2;""100"";;;",,,,,,,,,,,,
"4;""R3","R4"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";2;""22"";;;",,,,,,,,,,,,
"5;""SW1"";""SW_SPST_PTS647_Sx38"";1;""~"";;;",,,,,,,,,,,,,
"6;""C3","C4"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";2;""22pF"";;;",,,,,,,,,,,,
"7;""J3"";""PinHeader_2x03_P2.54mm_Vertical"";1;""ICSP"";;;",,,,,,,,,,,,,
"8;""Y1"";""Crystal_SMD_5032-2Pin_5.0x3.2mm"";1;""16MHz"";;;",,,,,,,,,,,,,
"9;""Q2",Q3,"Q1"";""SOT-23"";3;""T2N7002AK"";;;",,,,,,,,,,,
"10;""R7"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""5k"";;;",,,,,,,,,,,,,
"11;""C6","C2"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";2;""1uF"";;;",,,,,,,,,,,,
"12;""J1"";""PinHeader_1x10_P2.54mm_Vertical"";1;""Conn_01x10"";;;",,,,,,,,,,,,,
"13;""U3"";""Aosong_DHT11_5.5x12.0_P2.54mm"";1;""DHT11"";;;",,,,,,,,,,,,,
"14;""C5"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";1;""0.1uF"";;;",,,,,,,,,,,,,
"15;""LED1"";""LDT-N2804RI"";1;""LDT-N2804RI"";;;",,,,,,,,,,,,,
"16;""J4"";""USB_Micro-B_GCT_USB3076-30-A"";1;""USB_B_Micro"";;;",,,,,,,,,,,,,
"17;""D1"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";1;""TX"";;;",,,,,,,,,,,,,
"18;""R5"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""10k"";;;",,,,,,,,,,,,,
"19;""D2"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";1;""RX"";;;",,,,,,,,,,,,,
"20;""R6"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""470"";;;",,,,,,,,,,,,,
"21;""C1"";""CP_Elec_5x5.3"";1;""100uF"";;;",,,,,,,,,,,,,
"22;""JP1"";""SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm"";1;""Jumper_2_Open"";;;",,,,,,,,,,,,,
"23;""U1"";""TQFP-44_10x10mm_P0.8mm"";1;""ATmega32U4-A"";;;",,,,,,,,,,,,,
